text,label,original_intent,split
call justin,lead_intent,make_call,train
call home,lead_intent,make_call,train
call erryn,lead_intent,make_call,train
i have to call the commander,lead_intent,make_call,train
i will be calling hr,lead_intent,make_call,train
it is important that i call katie,lead_intent,make_call,train
x is who i need to call,lead_intent,make_call,train
i am going to call the landlord,lead_intent,make_call,train
call macy,lead_intent,make_call,train
dial lisa's cell phone number,lead_intent,make_call,train
please dial david now,lead_intent,make_call,train
i need you to call michael at home,lead_intent,make_call,train
can you call mary,lead_intent,make_call,train
please phone lizzy,lead_intent,make_call,train
please dial x's phone number,lead_intent,make_call,train
dial x's phone please,lead_intent,make_call,train
please call toby,lead_intent,make_call,train
call dave,lead_intent,make_call,train
call my best friend,lead_intent,make_call,train
can you make a phone call to mark,lead_intent,make_call,train
can you call my mom,lead_intent,make_call,train
call mark,lead_intent,make_call,train
call friend,lead_intent,make_call,train
can i call a restaurant,lead_intent,make_call,train
can you make a phone call to kevin,lead_intent,make_call,train
call bob for me,lead_intent,make_call,train
call my mother,lead_intent,make_call,train
call jim,lead_intent,make_call,train
can you make a phone call to roger,lead_intent,make_call,train
can you make a phone call to dave,lead_intent,make_call,train
call mymother,lead_intent,make_call,train
can you make a phone call to randy,lead_intent,make_call,train
bella needs to be called,lead_intent,make_call,train
give liz a call,lead_intent,make_call,train
would you give jenny a call,lead_intent,make_call,train
i want you to call bella,lead_intent,make_call,train
phone call secretary,lead_intent,make_call,train
get a hold of sue,lead_intent,make_call,train
i'm looking to call a group,lead_intent,make_call,train
call tom,lead_intent,make_call,train
dial x's number,lead_intent,make_call,train
dial christie's cell,lead_intent,make_call,train
call christie's work number,lead_intent,make_call,train
phone christie,lead_intent,make_call,train
call christie,lead_intent,make_call,train
please dial christie's number,lead_intent,make_call,train
can you call someone,lead_intent,make_call,train
call someone for me,lead_intent,make_call,train
dial someone's phone number,lead_intent,make_call,train
i need to talk to someone on the phone,lead_intent,make_call,train
call someone,lead_intent,make_call,train
it's time for me to call drew,lead_intent,make_call,train
it's necessary to call michael,lead_intent,make_call,train
i must call jordan,lead_intent,make_call,train
x is waiting for me to call,lead_intent,make_call,train
put me on a call to sally,lead_intent,make_call,train
place a call to bill now,lead_intent,make_call,train
i want to place a call to mike,lead_intent,make_call,train
i have to call jane,lead_intent,make_call,train
can you call russell,lead_intent,make_call,train
place call to robby,lead_intent,make_call,train
dial sarah,lead_intent,make_call,train
call robby,lead_intent,make_call,train
phone sarah,lead_intent,make_call,train
call sarah,lead_intent,make_call,train
call robby for me,lead_intent,make_call,train
i want to call robby,lead_intent,make_call,train
can you call robby,lead_intent,make_call,train
phonecall sarah,lead_intent,make_call,train
i want to talk to sarah,lead_intent,make_call,train
dial steven,lead_intent,make_call,train
phone steven,lead_intent,make_call,train
ring steven,lead_intent,make_call,train
call steven,lead_intent,make_call,train
i want to make a call to uncle,lead_intent,make_call,train
use my phone to dial work,lead_intent,make_call,train
start a phone call with kathy,lead_intent,make_call,train
initiate a phone call with receptionist,lead_intent,make_call,train
can a phone call be made to maria,lead_intent,make_call,train
i need you to call the broker,lead_intent,make_call,train
please do me a favor and call brother mario,lead_intent,make_call,train
can you please call nata,lead_intent,make_call,train
call sandra right now,lead_intent,make_call,train
immediately call tom,lead_intent,make_call,train
i must call dr smith,lead_intent,make_call,train
connect me to bob,lead_intent,make_call,train
place a call to father callahan,lead_intent,make_call,train
i should call ruthie,lead_intent,make_call,train
please call christy,lead_intent,make_call,train
i must call roderick,lead_intent,make_call,train
please make a phone call to christopher,lead_intent,make_call,train
i need to call mark,lead_intent,make_call,train
can you provide me the calories in the smoothie,faq,calories,train
can you tell me the calories for the cheeseburger,faq,calories,train
i'd like the calories for this chicken breast,faq,calories,train
how many calories in this slice of pizza,faq,calories,train
what about the calories for this chicken salad,faq,calories,train
how many calories are in a large fry,faq,calories,train
a large french fry has how many calories,faq,calories,train
what is the calorie content of a scoop of chocolate ice cream,faq,calories,train
how many calories in scoop of chocolate ice cream,faq,calories,train
tell me how many calories in a medium size apple,faq,calories,train
how many calories does a scoop of chocolate ice cream have,faq,calories,train
how many calories are in a can of coke,faq,calories,train
what's the number of calories in a pepsi,faq,calories,train
what is the calorie content of a small bag of lay's potato chips,faq,calories,train
how many calories does a kitkat have,faq,calories,train
how many calories are there in a scoop of chocolate ice cream,faq,calories,train
how many calories does a scoop of chocolate ice cream contain,faq,calories,train
what's the expected calories in a cream filled cookie,faq,calories,train
what's the amount of calories in a cheesy omelette,faq,calories,train
can you tell me the calorie count in a glazed donut,faq,calories,train
what's the calorie count for tuna casserole,faq,calories,train
how many calories are in waffles,faq,calories,train
what's the calorie content for fried eggs,faq,calories,train
what's the amount of calories in an cream filled oatmeal cookie,faq,calories,train
how many calories are in chocolate cake,faq,calories,train
how high in calories is pork,faq,calories,train
how many calories are in a honey bun,faq,calories,train
what does a sausage sandwich have for calories,faq,calories,train
what's the number of calories in a coke,faq,calories,train
what are the total calories for two servings of pasta,faq,calories,train
how many calories should i plan to be in a donut,faq,calories,train
how many calories would i estimate for fettuccine alfredo,faq,calories,train
how many calories does a big mac have,faq,calories,train
what's the caloric content if you eat roast beef,faq,calories,train
how many calories would i consume if i ate a loaded hotdog,faq,calories,train
what's the expected calorie load of a peanut butter and jelly sandwich,faq,calories,train
what's a big bowl of ice cream contain in calories,faq,calories,train
do cheetos have a lot of calories,faq,calories,train
what's the calorie content of cheetos,faq,calories,train
looks up the calories in cheetos,faq,calories,train
calorie count of cheetos,faq,calories,train
how many calories do cheetos have,faq,calories,train
how many calories are in a cup of white rice,faq,calories,train
how many calories are in vanilla ice cream,faq,calories,train
one cup of almonds has how many calories,faq,calories,train
what's the calorie info for 2 cups of regular chex mix,faq,calories,train
what's the caloric content in a bowl of rice crispies with milk,faq,calories,train
a bowl of cheerios with milk has how many calories,faq,calories,train
how many calories are in a bag of regular doritos,faq,calories,train
how many calories are in chocolate ice cream,faq,calories,train
2 cups of grapes have how many calories,faq,calories,train
how many calories are in spaghetti and meat sauce,faq,calories,train
"in one cookie, how many calories would i find",faq,calories,train
what is the calorie count for one cookie,faq,calories,train
"if i ate a cookie, how many calories would i be ingesting",faq,calories,train
cookies have how many calories,faq,calories,train
how many calories are in a cookie,faq,calories,train
how many calories in gum,faq,calories,train
how many calories in chicken,faq,calories,train
how many calories in meatloaf,faq,calories,train
how many calories are in chicken breast,faq,calories,train
how many calories in peanuts,faq,calories,train
what is the total number of calories in a bag of potato chips,faq,calories,train
can you tell me the amount of calories i can expect one tuna sandwich to contain,faq,calories,train
give me expected number of calories in a breakfast burrito,faq,calories,train
can you tell me the number of calories in one serving of whole cashews,faq,calories,train
please tell me the total calories a single serving of chocolate ice cream is expected to contain,faq,calories,train
i need to know the total calories for a chicken caesar salad,faq,calories,train
please tell me how many calories one chocolate bar contains,faq,calories,train
what's the average number of calories in one cup of tomato soup,faq,calories,train
do you know how many calories are in a single chicken breast,faq,calories,train
i need to know the number of calories on average in a handful of pistachios,faq,calories,train
what is the caloric value of a cookie,faq,calories,train
how many calories are in cookies,faq,calories,train
can you tell me how many calories are in cookies,faq,calories,train
what is the calorie count in a cookie,faq,calories,train
what are the calories in a cookie,faq,calories,train
what is the calorie count for muffins,faq,calories,train
are there a lot of calories in muffins,faq,calories,train
tell me the amount of calories in muffins,faq,calories,train
what is the caloric total in these muffins,faq,calories,train
what amount of calories are in one muffin,faq,calories,train
look up the calories in an apple,faq,calories,train
tell me the calorie content of an apple,faq,calories,train
what's the caloric content of an apple,faq,calories,train
tell me the calorie content for an apple,faq,calories,train
i need to know the calorie content in a piece of pepperoni pizza,faq,calories,train
how many calories are in an apple,faq,calories,train
i want the calorie content for a banana,faq,calories,train
tell me the number of calories in a banana,faq,calories,train
what is the calorie look like in apples,faq,calories,train
what is the calorie going to be if i'm eating cereal,faq,calories,train
add up the calories in tacos,faq,calories,train
how many calories are in cheerios,faq,calories,train
what type of calorie numbers are in onions,faq,calories,train
i need to know the calorie count of a bacon cheeseburger,faq,calories,train
whats the calorie content of oatmeal,faq,calories,train
what is the calorie count of an apple,faq,calories,train
how many calories on average are in a hot dog,faq,calories,train
how many calories are in a piece of bacon,faq,calories,train
let my credit card company know that my card split in half,escalate,damaged_card,train
how do you report a burned debit card,escalate,damaged_card,train
"my card split in half, how do i report it",escalate,damaged_card,train
report my burned card to the company,escalate,damaged_card,train
what do i say when i report a split credit card,escalate,damaged_card,train
my card was damaged by my cat; can i report that,escalate,damaged_card,train
i dropped my card in my gasoline and the printing wore off,escalate,damaged_card,train
i need to report that my dog chewed up my card,escalate,damaged_card,train
it seems i can't use my card since it has been damaged,escalate,damaged_card,train
"unfortunately, my card is damaged and unusable",escalate,damaged_card,train
what should i do with an unusable and damaged card,escalate,damaged_card,train
my card is unusable because it's damaged,escalate,damaged_card,train
i cracked my card and need a replacement,escalate,damaged_card,train
my card got melted and i need to report it,escalate,damaged_card,train
"my card got melted and i need to report it, please",escalate,damaged_card,train
"my card got melted in the dryer and i need to report it, please",escalate,damaged_card,train
my card got damaged and i need to report it,escalate,damaged_card,train
"my card got damaged and i need to report it, please",escalate,damaged_card,train
my card is damaged so i can not use it,escalate,damaged_card,train
report the card has been damaged,escalate,damaged_card,train
"i can not use my card, it is damaged",escalate,damaged_card,train
"the card is torn, let's report it",escalate,damaged_card,train
report that the card has been wrecked,escalate,damaged_card,train
my card is damaged and no longer function,escalate,damaged_card,train
my card is damaged and unusable,escalate,damaged_card,train
"my card is wrecked, let's report it",escalate,damaged_card,train
report the card has been torn,escalate,damaged_card,train
i can not use my card since it is damaged,escalate,damaged_card,train
i need to report a bent card,escalate,damaged_card,train
"my card split in half, can i report it",escalate,damaged_card,train
"i cracked my card, order a new one",escalate,damaged_card,train
report that i split my card,escalate,damaged_card,train
please make a report that my card is split,escalate,damaged_card,train
"the magnetic strip on my card is scratched, let the card company know",escalate,damaged_card,train
"i cut up the wrong card, please contact the bank and let them know",escalate,damaged_card,train
"i creased my card today, contact the bank",escalate,damaged_card,train
"my card is cracked, please tell the card company",escalate,damaged_card,train
"the dog chewed up my card, will you find out what it takes to get a replacement",escalate,damaged_card,train
the plastic numbers on my card are falling off,escalate,damaged_card,train
corner of my credit card is chipped off,escalate,damaged_card,train
my card got snapped in half,escalate,damaged_card,train
my card is too scratched and won't read correctly,escalate,damaged_card,train
the sticker on my card is peeling off,escalate,damaged_card,train
i can't use my card because it is broken,escalate,damaged_card,train
my broken card won't work,escalate,damaged_card,train
i can't use my damaged card,escalate,damaged_card,train
my damage card is not working,escalate,damaged_card,train
my damage card will not work,escalate,damaged_card,train
i don't know who to notify that i ran my credit card over with the lawn mower,escalate,damaged_card,train
i ran my credit card over with the lawn mower and need to replace it,escalate,damaged_card,train
i need to replace my credit card because i ran it over with the lawn mower,escalate,damaged_card,train
my card is partially damaged how do i report this,escalate,damaged_card,train
my card is not working and i need to let them know,escalate,damaged_card,train
my card broke in half and i need to report this,escalate,damaged_card,train
the chip on my card is damaged and i need a new one,escalate,damaged_card,train
my card's magnetic strip is not working and i want to notify them,escalate,damaged_card,train
my card has a deep crease through the middle so i would like to report it,escalate,damaged_card,train
how do i report my card if it got cut in half,escalate,damaged_card,train
my card is cracked and i want to report it,escalate,damaged_card,train
my card is too scratched up and i need to report it,escalate,damaged_card,train
i need to report my bent card,escalate,damaged_card,train
report to the company that i damaged my card,escalate,damaged_card,train
call the card company and ask them to replace my card,escalate,damaged_card,train
i damaged the card; can you replace the card,escalate,damaged_card,train
i demagnetized my card and want to report it,escalate,damaged_card,train
i want to report a broken card,escalate,damaged_card,train
"my phone was too close to my card and demagnetized it, how can i report this",escalate,damaged_card,train
my card has been erased and i need to report it,escalate,damaged_card,train
"i need a report form for my damaged, demagnetized card",escalate,damaged_card,train
how to report bent credit card,escalate,damaged_card,train
i can't use my broken card,escalate,damaged_card,train
i broke my card,escalate,damaged_card,train
how to tell the company that my credit card melted,escalate,damaged_card,train
my card is broken,escalate,damaged_card,train
my card isn't working,escalate,damaged_card,train
who do i report to if my credit card snaps,escalate,damaged_card,train
"i accidentally bent my card, what do i do",escalate,damaged_card,train
my card doesn't work anymore,escalate,damaged_card,train
how do i report a melted credit card,escalate,damaged_card,train
"my card needs replaced, i accidentally scraped it",escalate,damaged_card,train
"i'd like to report my card as damaged, it's bent",escalate,damaged_card,train
"i bent my card, can you report it to my bank",escalate,damaged_card,train
"my card got scratched badly, can you tell my bank to send a replacement",escalate,damaged_card,train
"my card snapped, can you tell my bank to send a replacement",escalate,damaged_card,train
i accidentally put my credit card in the shredder,escalate,damaged_card,train
my credit card fell out of my back pocket and got flushed down the toilet,escalate,damaged_card,train
my credit card snapped in half while i was fiddling with it,escalate,damaged_card,train
my dog ate my credit card and ruined it,escalate,damaged_card,train
i was using my credit card as a cutting board and accidentally sliced it in half,escalate,damaged_card,train
can you assist me with reporting that the atm nicked my card,escalate,damaged_card,train
i need to report a new card please the atm hurt mine,escalate,damaged_card,train
how report that scratched my card,escalate,damaged_card,train
the atm chewed up my card can i get a new one,escalate,damaged_card,train
"an atm ate my card, how do i report it",escalate,damaged_card,train
my card fell out of my wallet and i ran over it so it does not work,escalate,damaged_card,train
my card fell in the toilet and now the chip does not work,escalate,damaged_card,train
the magnetic strip on my card is scratched up pretty badly from overuse can i get a new one,escalate,damaged_card,train
i need a new card because my dog chewed on it and now it does not work,escalate,damaged_card,train
i want to report my damaged card i accidentally cut it up thinking it was my expired card,escalate,damaged_card,train
i cracked my rewards card can i get a different one,escalate,damaged_card,train
i want to know if there is meeting room available at 8,lead_intent,schedule_meeting,train
meeting room availability from 8:00 please,lead_intent,schedule_meeting,train
are there any meetings room available between 8:00 and 9:00 am,lead_intent,schedule_meeting,train
i want to check if there is any meeting room available between 8:00 and 10:00 am,lead_intent,schedule_meeting,train
tell me how do i schedule a meeting,lead_intent,schedule_meeting,train
show me how do i schedule a meeting,lead_intent,schedule_meeting,train
i want to know how do i schedule a meeting,lead_intent,schedule_meeting,train
meeting room availability at 8:00 please,lead_intent,schedule_meeting,train
i want to find out how do i schedule a meeting,lead_intent,schedule_meeting,train
do you know how do i schedule a meeting,lead_intent,schedule_meeting,train
can you schedule a meeting with steve at the office,lead_intent,schedule_meeting,train
"can you schedule a meeting with jessica at the office, please",lead_intent,schedule_meeting,train
"can you schedule a meeting with james at the office, please",lead_intent,schedule_meeting,train
how do i create a meeting,lead_intent,schedule_meeting,train
how can i create a meeting,lead_intent,schedule_meeting,train
how can i schedule a meeting,lead_intent,schedule_meeting,train
"can you schedule a meeting with steve at the office, please",lead_intent,schedule_meeting,train
can you schedule a meeting with james at the office,lead_intent,schedule_meeting,train
do you have a meeting room open from noon until 2:00 pm,lead_intent,schedule_meeting,train
i'd like to schedule a meeting room from 1:00 pm until 2:00 pm,lead_intent,schedule_meeting,train
can i book a meeting room from 2:00 pm to 3:00 pm,lead_intent,schedule_meeting,train
are there any meeting rooms free from 10:00 am until 10:30 am,lead_intent,schedule_meeting,train
what is your availability for conference rooms between one and two today,lead_intent,schedule_meeting,train
i want to schedule a meeting with tom for 6pm,lead_intent,schedule_meeting,train
add a new meeting with tom for 6pm,lead_intent,schedule_meeting,train
how can you schedule a meeting for me,lead_intent,schedule_meeting,train
can you schedule a meeting for me,lead_intent,schedule_meeting,train
schedule a meeting with tom for 6pm,lead_intent,schedule_meeting,train
i need to schedule a meeting,lead_intent,schedule_meeting,train
schedule a meeting for me,lead_intent,schedule_meeting,train
add a meeting with tom at 6pm,lead_intent,schedule_meeting,train
i need to set a meeting with tom at 6pm,lead_intent,schedule_meeting,train
would you schedule a meeting with carrie and lisa please,lead_intent,schedule_meeting,train
i need you to schedule a meeting with carrie and lisa,lead_intent,schedule_meeting,train
schedule a meeting with carrie and lisa,lead_intent,schedule_meeting,train
i want you to schedule a meeting with carrie and lisa,lead_intent,schedule_meeting,train
could you please schedule a meeting with carrie and lisa,lead_intent,schedule_meeting,train
i want a meeting to be scheduled,lead_intent,schedule_meeting,train
tell me how i can schedule a meeting,lead_intent,schedule_meeting,train
help me schedule a meeting,lead_intent,schedule_meeting,train
how does scheduling a meeting work,lead_intent,schedule_meeting,train
help me get a meeting set up,lead_intent,schedule_meeting,train
i need a meeting scheduled with bob for 7:00am on 9/11,lead_intent,schedule_meeting,train
get me a meeting with bill for 5:30pm tomorrow,lead_intent,schedule_meeting,train
i have to meet with sam at 9:00am in two days,lead_intent,schedule_meeting,train
set a meeting with tom for 5:30 tomorrow,lead_intent,schedule_meeting,train
i'm having trouble scheduling a meeting,lead_intent,schedule_meeting,train
put a meeting on my schedule with pam for 3:00pm on february 11th,lead_intent,schedule_meeting,train
are there meeting rooms available between 9-10,lead_intent,schedule_meeting,train
are there meeting rooms available between 7-9,lead_intent,schedule_meeting,train
are there meeting rooms available between 11-12,lead_intent,schedule_meeting,train
are there meeting rooms available between 4-8,lead_intent,schedule_meeting,train
are there meeting rooms available between 10-11,lead_intent,schedule_meeting,train
can you put in a meeting for the blue room on friday,lead_intent,schedule_meeting,train
can you sign me up for a meeting in the blue room on friday,lead_intent,schedule_meeting,train
i want to know if there are meeting rooms available between 9:00 am and 11:00 am,lead_intent,schedule_meeting,train
please help me schedule a meeting with john love at 9 am tomorrow,lead_intent,schedule_meeting,train
"between 9:00 am and 11:00 am, are there meeting rooms available",lead_intent,schedule_meeting,train
could you schedule a meeting with john smith at 1 pm tomorrow,lead_intent,schedule_meeting,train
i need you to schedule a meeting with bob brown at noon the day after tomorrow,lead_intent,schedule_meeting,train
can see you see if there are meeting rooms available between 9:00 am and 11:00 am,lead_intent,schedule_meeting,train
see if you can schedule a meeting with don southerland tomorrow at noon,lead_intent,schedule_meeting,train
"i need meeting rooms between 9:00 am and 11:00 am, are there any available",lead_intent,schedule_meeting,train
can you schedule a meeting at 10 am tomorrow with john smith,lead_intent,schedule_meeting,train
please tell me if there are meeting rooms available between 9:00 am and 11:00 am,lead_intent,schedule_meeting,train
can you schedule a meeting room for interviews on thursday,lead_intent,schedule_meeting,train
can you schedule a meeting with damon for 1,lead_intent,schedule_meeting,train
can you schedule a meeting with john for 12,lead_intent,schedule_meeting,train
can you schedule a meeting with steve for 5,lead_intent,schedule_meeting,train
can you schedule a meeting with george for 4,lead_intent,schedule_meeting,train
can you schedule a meeting with matt for 3,lead_intent,schedule_meeting,train
a meeting needs to be schedule and i need to know how,lead_intent,schedule_meeting,train
show me how to schedule a meeting,lead_intent,schedule_meeting,train
tell me how to schedule a meeting,lead_intent,schedule_meeting,train
schedule a meeting room for friday at 3pm,lead_intent,schedule_meeting,train
"at noon, schedule a meeting with saul",lead_intent,schedule_meeting,train
i'd like to pencil in a meeting with seth at 11am,lead_intent,schedule_meeting,train
what's the meeting room availability between noon and 2,lead_intent,schedule_meeting,train
set up a meeting with frank at 2pm,lead_intent,schedule_meeting,train
are there any open meeting rooms between noon and 1,lead_intent,schedule_meeting,train
book me a meeting room for 12pm on february 28th,lead_intent,schedule_meeting,train
are any meeting rooms open between 9 and 10,lead_intent,schedule_meeting,train
is there an open meeting room between 2 and 4,lead_intent,schedule_meeting,train
can you hook me up with a meeting room on saturday morning at 10am,lead_intent,schedule_meeting,train
i need to schedule a meeting with mae at 5pm,lead_intent,schedule_meeting,train
i'm going to need a meeting room on 9am on tuesday,lead_intent,schedule_meeting,train
i need a meeting room at 2pm on friday,lead_intent,schedule_meeting,train
i'm going to need to meet with scott at 1pm,lead_intent,schedule_meeting,train
is it possible to book a meeting room between 10 and 11,lead_intent,schedule_meeting,train
would you be able to help me with a meeting room on wednesday at 3pm,lead_intent,schedule_meeting,train
during afternoon is there a meeting room to use,lead_intent,schedule_meeting,train
is there a meeting room available between one and two,lead_intent,schedule_meeting,train
what is the availability of meeting rooms during the afternoon,lead_intent,schedule_meeting,train
how many rooms are available between 2 and 3,lead_intent,schedule_meeting,train
check if meeting rooms are free from 6 to 7,lead_intent,schedule_meeting,train
please find out if rooms are free from 1 to 2,lead_intent,schedule_meeting,train
are any rooms free from 12 to 1,lead_intent,schedule_meeting,train
are there rooms available between 5 and 530,lead_intent,schedule_meeting,train
"if i want to schedule a meeting, how do i do it",lead_intent,schedule_meeting,train
how is a meeting scheduled,lead_intent,schedule_meeting,train
can you find my package in transit,lead_intent,order_status,train
track my package please,lead_intent,order_status,train
help me find my package,lead_intent,order_status,train
i need to track my package,lead_intent,order_status,train
what's going on with my order,lead_intent,order_status,train
can you see where my package is,lead_intent,order_status,train
do you know anything about the status of my order,lead_intent,order_status,train
can you check if my order has been delivered,lead_intent,order_status,train
are you able to figure out where my package is,lead_intent,order_status,train
order status,lead_intent,order_status,train
is my order being delivered soon,lead_intent,order_status,train
where's my package,lead_intent,order_status,train
do you know where my package is,lead_intent,order_status,train
"check status on my deliver, has it been delivered",lead_intent,order_status,train
is my order shown as delivered,lead_intent,order_status,train
did my order ship,lead_intent,order_status,train
can you tell where my package is,lead_intent,order_status,train
is my package able to be tracked by you,lead_intent,order_status,train
can you find my package,lead_intent,order_status,train
can you locate my package,lead_intent,order_status,train
are you able to tack my package,lead_intent,order_status,train
has my online order shipped yet,lead_intent,order_status,train
i need to know what the most recent update is on the status of my online purchase,lead_intent,order_status,train
look up the status of the order i placed online,lead_intent,order_status,train
check to see the status of my recent online order,lead_intent,order_status,train
find out the status of my most recent online purchase,lead_intent,order_status,train
"i ordered some curtains off amazon, can you tell me if it's been shipped yet",lead_intent,order_status,train
what's the status of my order,lead_intent,order_status,train
can you check on the status of my orders at amazon,lead_intent,order_status,train
can you tell me what the status of my last amazon order is,lead_intent,order_status,train
can you tell me if my last amazon order is coming today,lead_intent,order_status,train
show me tracking on my order,lead_intent,order_status,train
what is the status of my order,lead_intent,order_status,train
can you update me on my last amazon orders,lead_intent,order_status,train
"i just placed my order today, what is the status of it",lead_intent,order_status,train
can i please get the status my order,lead_intent,order_status,train
my order was put in and i was wonder how i can see the status of it,lead_intent,order_status,train
i submitted my order is there any updates on it yet,lead_intent,order_status,train
"hey, i just put in my order and i was wondering what the status of it",lead_intent,order_status,train
what's the current location of my package,lead_intent,order_status,train
has my ordered arrived,lead_intent,order_status,train
when will my package arrive,lead_intent,order_status,train
can you see if my order was delivered,lead_intent,order_status,train
did my order ever get distributed today,lead_intent,order_status,train
where was my package last at,lead_intent,order_status,train
can you help me find my package,lead_intent,order_status,train
was my order dropped off,lead_intent,order_status,train
where's my package right now,lead_intent,order_status,train
would you track my package,lead_intent,order_status,train
please track my package,lead_intent,order_status,train
track my package now please,lead_intent,order_status,train
could you please track my package,lead_intent,order_status,train
i need you to track my package,lead_intent,order_status,train
what is the status of my online order,lead_intent,order_status,train
what's the status of the order i placed online last week with target,lead_intent,order_status,train
please tell me the status of my last online order from walmart,lead_intent,order_status,train
"can i still make changes to my order, or has it already been shipped",lead_intent,order_status,train
i need an update on my online order from nespresso,lead_intent,order_status,train
when can i expect to receive the order,lead_intent,order_status,train
has my order been shipped,lead_intent,order_status,train
can you give me a status update on my online order from amazon,lead_intent,order_status,train
what is the status of my online order of coffee pods,lead_intent,order_status,train
what is the status of my recent order,lead_intent,order_status,train
can you please check on the status of my online order,lead_intent,order_status,train
check up on the status of my online order,lead_intent,order_status,train
online order: status,lead_intent,order_status,train
check on the status of my order,lead_intent,order_status,train
where is my order,lead_intent,order_status,train
is my order here yet,lead_intent,order_status,train
when will my order be delivered,lead_intent,order_status,train
check the status of my order,lead_intent,order_status,train
show me where my order is,lead_intent,order_status,train
has my order been shipped yet,lead_intent,order_status,train
can you check to see if my order has been delivered,lead_intent,order_status,train
"could you check to see if my order has been delivered, please",lead_intent,order_status,train
"can you check to see if my order has been delivered, please",lead_intent,order_status,train
"could you check if my order has been delivered, please",lead_intent,order_status,train
could you check to see if my order has been delivered,lead_intent,order_status,train
has the order that i placed arrived,lead_intent,order_status,train
is my order already here,lead_intent,order_status,train
is my order due yet,lead_intent,order_status,train
is the packaged delivered already,lead_intent,order_status,train
has my order arrived yet,lead_intent,order_status,train
how soon will me package arrive,lead_intent,order_status,train
when can i expect my order,lead_intent,order_status,train
check order number,lead_intent,order_status,train
"track package, please",lead_intent,order_status,train
are you able to track my package,lead_intent,order_status,train
track my package,lead_intent,order_status,train
what is the tracking on my package,lead_intent,order_status,train
get the tracking on my package,lead_intent,order_status,train
what is the status of my delivery order,lead_intent,order_status,train
where is my delivery order,lead_intent,order_status,train
has my delivery order arrived yet,lead_intent,order_status,train
has my delivery order showed up,lead_intent,order_status,train
"i ordered for delivery, has is arrived yet",lead_intent,order_status,train
what is the status of my most recent order,lead_intent,order_status,train
has my recent order shipped,lead_intent,order_status,train
when will my order be here,lead_intent,order_status,train
will my order be here by saturday,lead_intent,order_status,train
"syonara, ai device!",ambiguous,goodbye,train
"goodbye, helpful ai device!",ambiguous,goodbye,train
bye-bye,ambiguous,goodbye,train
"goodbye, ai assistant",ambiguous,goodbye,train
glad we got to talk,ambiguous,goodbye,train
i'm glad i got to talk to you,ambiguous,goodbye,train
nice to speak with you,ambiguous,goodbye,train
this was a great conversation,ambiguous,goodbye,train
talk to you later,ambiguous,goodbye,train
tata for now,ambiguous,goodbye,train
i'm out of here,ambiguous,goodbye,train
"that's all, bye",ambiguous,goodbye,train
see ya later,ambiguous,goodbye,train
adios ai,ambiguous,goodbye,train
"it was great to see you again, see ya later!",ambiguous,goodbye,train
"i had a pleasure talking to you, see you later",ambiguous,goodbye,train
"nice talking again, bye",ambiguous,goodbye,train
i have to go but it was nice talking again!,ambiguous,goodbye,train
"i am glad we got to talk again, see you soon",ambiguous,goodbye,train
sayonara,ambiguous,goodbye,train
catch you around,ambiguous,goodbye,train
good seeing you,ambiguous,goodbye,train
"later, thanks for chatting",ambiguous,goodbye,train
adios,ambiguous,goodbye,train
"great talk, take it easy",ambiguous,goodbye,train
see ya,ambiguous,goodbye,train
"great chat, talk to you later",ambiguous,goodbye,train
"nice talk, talk to you later",ambiguous,goodbye,train
"thanks for chatting, later",ambiguous,goodbye,train
goodbye to you,ambiguous,goodbye,train
i must say goodbye,ambiguous,goodbye,train
i'm saying goodbye now,ambiguous,goodbye,train
it is time to say goodbye,ambiguous,goodbye,train
i have to say goodbye,ambiguous,goodbye,train
cya later,ambiguous,goodbye,train
i enjoyed talking to you,ambiguous,goodbye,train
thanks for talking,ambiguous,goodbye,train
it was good chatting,ambiguous,goodbye,train
it was nice chatting with you,ambiguous,goodbye,train
always nice to talk to you,ambiguous,goodbye,train
"see you later, alligator",ambiguous,goodbye,train
good night,ambiguous,goodbye,train
it was nice to get in touch,ambiguous,goodbye,train
see you soon,ambiguous,goodbye,train
later gator!,ambiguous,goodbye,train
it was nice to talk it out with you,ambiguous,goodbye,train
it was nice to converse with you,ambiguous,goodbye,train
ill see you around,ambiguous,goodbye,train
take it easy!,ambiguous,goodbye,train
later gater,ambiguous,goodbye,train
it was nice to speak with you,ambiguous,goodbye,train
see you later alligator,ambiguous,goodbye,train
fairwell,ambiguous,goodbye,train
have a good one,ambiguous,goodbye,train
peace,ambiguous,goodbye,train
bye for now,ambiguous,goodbye,train
"thanks, bye",ambiguous,goodbye,train
i have to get going,ambiguous,goodbye,train
talk to you later!,ambiguous,goodbye,train
i’ll be leaving now,ambiguous,goodbye,train
i’m leaving-goodbye!,ambiguous,goodbye,train
thanks for talking to me,ambiguous,goodbye,train
it was really nice to be able to chat with you,ambiguous,goodbye,train
it was good to talk to you today,ambiguous,goodbye,train
it was great to have this conversation with you,ambiguous,goodbye,train
it was nice to catch up with you,ambiguous,goodbye,train
it was enjoyable talking with you,ambiguous,goodbye,train
it was great chatting with you,ambiguous,goodbye,train
it was cool talking with you,ambiguous,goodbye,train
it was pleasant conversing with you,ambiguous,goodbye,train
good bye my friend,ambiguous,goodbye,train
i need to go now,ambiguous,goodbye,train
